single1	single2
OS01G68310	SB03G043440
OS11G03920	SB08G001460
OS05G46330	SB04G006940
OS02G39160	SB04G025290
OS03G15910	SB01G040080
OS04G28010	SB06G004980
OS04G51700	SB06G027820
OS01G01150	SB03G009130
OS01G68440	SB03G043530
OS03G22570	SB01G035510
OS10G41390	SB01G028850
OS02G58650	SB04G038580
OS06G01680	SB10G006020
OS02G51830	SB03G003570
OS02G40040	SB04G025950
OS11G32890	SB05G020290
OS01G42850	SB03G027840
OS03G63250	SB01G001270
OS11G14990	SB05G006580
OS01G42950	SB03G027880
OS02G52390	SB04G033980
OS04G56640	SB06G031690
OS03G59070	SB03G032790
OS07G27300	SB02G010960
OS03G08450	SB01G045090
OS02G03940	SB04G002670
OS01G41040	SB03G026720
OS08G08080	SB10G002430
OS02G07910	SB04G005070
OS04G47380	SB06G025270
OS06G06420	SB10G004040
OS06G09610	SB10G006380
OS09G25310	SB02G024860
OS08G34970	SB07G022130
OS10G30280	SB01G021140
OS08G08060	SB07G004940
OS11G37080	SB05G022540
OS05G50360	SB09G027240
OS07G05480	SB02G002960
OS01G32300	SB01G011550
OS12G19860	SB08G001210
OS09G33559	SB02G029520
OS09G38060	SB02G032270
OS04G24520	SB09G005180
OS06G46380	SB10G027180
OS02G23890	SB01G001670
OS07G31490	SB02G033820
OS08G03600	SB07G002490
OS02G57670	SB04G036380
OS08G44540	SB07G024060
OS04G38700	SB06G018990
OS02G07040	SB04G004480
OS02G35220	SB04G022930
OS06G46240	SB10G027080
OS11G42000	SB05G025520
OS06G01210	SB10G000230
OS07G34520	SB02G035150
OS02G17700	SB04G010680
OSCG00710	SBCG00710
OS12G17070	SB01G049090
OS06G21600	SB10G012240
OS08G06430	SB07G004130
OS05G01360	SB09G000420
OS02G06360	SB04G004050
OS08G02630	SB07G002060
OS01G69210	SB03G044090
OS07G37250	SB02G036270
OSCG00250	SBCG00260
OS02G48590	SB04G029880
OS11G06810	SB09G030030
OS03G63920	SB01G000620
OS06G49160	SB10G029300
OS04G20230	SB06G004500
OS08G16780	SB07G009990
OS04G51780	SB06G027850
OS01G67880	SB03G043160
OS01G48810	SB03G031220
OS02G45920	SB04G031640
OS10G42720	SB01G027910
OS08G39090	SB07G028330
OS08G05670	SB07G003505
OS07G47820	SB02G042770
OS12G37590	SB08G018270
OS09G34310	SB02G030100
OS07G23520	SB02G009970
OS04G14790	SB06G003053
OS01G33060	SB03G019750
OS03G60370	SB01G003490
OS03G53510	SB01G008300
OS03G47780	SB05G023230
OS03G05720	SB01G046850
OS03G46650	SB01G012370
OS07G40930	SB02G038500
OS02G13970	SB04G008450
OS07G42640	SB02G039390
OS10G41120	SB01G050550
OS03G61110	SB01G002770
OS09G17850	SB02G022640
OS03G42010	SB01G014630
OS07G36090	SB02G035620
OS05G19974	SB06G003360
OS08G44010	SB07G024580
OS06G47210	SB10G027820
OS01G47350	SB04G003790
OS07G39780	SB02G037850
OS06G05400	SB10G003200
OS01G31220	SB10G003460
OS02G58550	SB04G038500
OS11G31110	SB05G018100
OS10G36370	SB01G017590
OS07G09720	SB03G001710
OS07G47580	SB02G042600
OS05G37884	SB09G025380
OS03G48490	SB01G011510
OS03G04600	SB01G047670
OS08G28690	SB07G014630
OS07G29410	SB02G033120
OS05G49050	SB09G028620
OS02G50350	SB04G028610
OS01G56180	SB03G035690
OS10G36250	SB01G017670
OS02G02550	SB04G001310
OS07G04160	SB07G021890
OS08G23430	SB03G034140
OS04G40830	SB10G029080
OS04G35560	SB06G017110
OS06G43250	SB10G025060
OS03G14020	SB01G041300
OS04G43922	SB06G031660
OS03G49750	SB01G010730
OS03G01980	SB01G049905
OS03G10360	SB01G043830
OS08G15460	SB07G007870
OS02G45820	SB04G031720
OS06G06050	SB10G003790
OS01G68370	SB03G043480
OS03G57070	SB01G006160
OS02G34630	SB02G034880
OS09G02810	SB01G042620
OS06G20390	SB10G011810
OS04G52110	SB06G028110
OS08G14660	SB07G007800
OS12G08830	SB08G005430
OS02G44810	SB04G032290
OS02G45110	SB04G032100
